Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Kem dưỡng SKII LXP Ultimate Perfecting Cream 50g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006053241,4979006053241,Có,6868,7120,7120,7000,7120,7150,Hộp,6868,0,6868,0,6868,0,6868,0,6868,0
SKII LXP Ultimate Perfecting Serum 50ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006053258,4979006053258,Có,6106,6500,6500,6250,6500,6600,Chai,6106,0,6106,0,6106,0,6106,0,6106,0
Kem Chống Lão Hóa SKII Stempower Rich Cream 80gr,Sản phẩm thường,SKII-Dior-Shu-Son,4979006056020,4979006056020,Có,2400,3800,3800,2850,3800,3900,Hộp,2400,0,2400,0,2400,0,2400,0,2400,0
SKII Steam Power Rich Cream 50g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006056037,4979006056037,Có,3422,3550,3550,3850,3550,3600,Hộp,3422,0,3422,0,3422,0,3422,0,3422,0
LXP SKII Ultmate Perfecting Essence 150ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006056426,4979006056426,Có,6380,6600,6500,7500,6600,6700,Chai,6380,0,6380,0,6380,0,6380,0,6380,0
KCN SKII Cellumination Day Surge UV 50g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006056754,4979006056754,Có,2107,2150,2150,2350,2150,2200,chai,2107,0,2107,0,2107,0,2107,0,2107,0
Tinh chất dưỡng da SKII stempower 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006060836,4979006060836,Có,2340,2450,2450,2650,2450,2450,chai,2340,0,2340,0,2340,0,2340,0,2340,0
Lotion dưỡng mắt SKII 15g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061192,4979006061192,Có,1500,1650,1650,1850,1650,1600,Chai,1500,0,1500,0,1500,0,1500,0,1500,0
LXP Kem dưỡng mắt  SKII ,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061215,4979006061215,Có,3825,4350,4300,4950,4350,4400,Hũ,3825,0,3825,0,3825,1,3825,0,3825,0
Kem dưỡng ngày làm trắng SKII 25g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061369,4979006061369,Có,2107,2200,2200,2550,2200,2250,hộp,2107,0,2107,0,2107,0,2107,0,2107,0
SKII Cellumination Aura Essence 50ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061611,4979006061611,Có,4390,4600,4600,5100,4600,4600,chai,4390,0,4390,0,4390,0,4390,0,4390,0
1734-Ruột phấn Oval SKII 220 9.5g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061734,4979006061734,Có,1259,1370,1350,1550,1370,1380,hộp,1259,0,1259,0,1259,2,1259,0,1259,0
Ruột phấn Oval SKII 310 9.5g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061741,4979006061741,Có,1259,1370,1350,1550,1370,1380,Cái,1259,0,1259,2,1259,2,1259,0,1259,0
Ruột phấn SKII 320 9.5g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061758,4979006061758,Có,1259,1300,1300,1550,1300,1320,cái,1259,0,1259,0,1259,0,1259,0,1259,0
Ruột phấn Oval SKII Clear Beauty Powder Foundation 420 9.5g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061826,4979006061826,Có,1259,1370,1350,1550,1370,1380,Hộp ,1259,0,1259,0,1259,1,1259,0,1259,0
1857-Ruột phấn Oval SKII 510 9.5g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006061857,4979006061857,Có,1259,1370,1350,1550,1370,1380,hộp,1259,0,1259,0,1259,2,1259,0,1259,0
SKII Whiterning Power sport Specialist 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006062335,4979006062335,Có,2173,2300,2300,2450,2300,2300,chai,2173,0,2173,0,2173,0,2173,0,2173,0
SKII Whiterning Power sports specialist 50ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006062342,4979006062342,Có,3063,3200,3200,3350,3200,3200,chai,3063,0,3063,0,3063,0,3063,0,3063,0
2496 Set SKii màu vàng,Sản phẩm thường,SKII-Dior-Shu-Son,4979006062496,4979006062496,Có,16020,16500,16500,19200,16500,16700,Hộp,16020,0,16020,0,16020,0,16020,0,16020,0
Steampower eye cream SKII 15g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006063318,4979006063318,Có,2400,2450,2450,2600,2450,2500,chai,2400,0,2400,0,2400,0,2400,0,2400,0
Nước Thần SKII Facial Treatment Essence 215ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064704,4979006064704,Có,2400,3300,3300,3600,3300,3300,chai,2400,0,2400,0,2400,0,2400,0,2400,0
Set SKII Pitera Essence ,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064759,4979006064759,Có,1470,1520,1520,1650,1520,1550,set,1470,0,1470,0,1470,0,1470,0,1470,0
Sữa rửa mặt SKII Treatment Gentle 120g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064766,4979006064766,Có,1694,1730,1720,1950,1730,1750,Tuýp,1694,1,1694,1,1694,1,1694,0,1694,0
Dầu Tẩy Trang SKII Facial Treatment Cleansing Oil 250ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064780,4979006064780,Có,1240,1350,1300,1700,1350,1400,chai,1240,3,1240,1,1240,2,1240,0,1240,0
Sữa Dưỡng Làm Căng Da SKII Facial Lift Emulsion 100g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064827,4979006064827,Có,2150,2250,2250,2500,2250,2260,Chai,2150,0,2150,0,2150,0,2150,0,2150,0
Mặt nạ SKII 6 miếng ,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064834,4979006064834,Có,2057,1700,1700,2350,1700,1730,Hộp ,2057,12,2057,4,2057,1,2057,0,2057,0
Mặt nạ SKII 10 miếng ,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064841,4979006064841,Có,2350,2450,2450,2950,2450,2500,,2350,0,2350,0,2350,0,2350,0,2350,0
Facical treatment Repair C SKii 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064858,4979006064858,Có,3200,3980,3980,4250,3980,4050,chai,3200,0,3200,0,3200,0,3200,0,3200,0
SKII Sữa dưỡng trắng da Facial Treatment Milk 75ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064872,4979006064872,Có,1690,1760,1750,2000,1760,1770,chai,1690,1,1690,1,1690,0,1690,0,1690,0
Kem thu nhỏ lỗ chân lông Skin Refining Treatment SKII 50g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064889,4979006064889,Có,2281,2340,2340,2600,2340,2350,Hũ,2281,0,2281,0,2281,0,2281,0,2281,0
Kem massage SKII cấp ẩm 80g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064896,4979006064896,Có,500000,650000,650000,1000,650000,680000,Hộp,500000,0,500000,0,500000,0,500000,0,500000,0
Kem trang điểm SKII Auractivator CC Cream 30g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006064940,4979006064940,Có,1910,2000,2000,2250,2000,2050,set,1910,0,1910,0,1910,0,1910,0,1910,0
Tẩy vết nhăn SKII,Sản phẩm thường,SKII-Dior-Shu-Son,4979006065008,4979006065008,Có,2930,3050,3050,3250,3050,3050,tuýp,2930,0,2930,0,2930,0,2930,0,2930,0
5060-MN nâng cơ 3D SKII 6 cái,Sản phẩm thường,SKII-Dior-Shu-Son,4979006065060,4979006065060,Có,3200,3300,3300,3600,3300,3320,Hộp,3200,1,3200,1,3200,1,3200,0,3200,0
SKII Skin Signature Melting Rich Cream 50g (dưỡng ẩm),Sản phẩm thường,SKII-Dior-Shu-Son,4979006065077,4979006065077,Có,4226,4350,4350,4650,4350,4400,Hũ,4226,0,4226,0,4226,1,4226,0,4226,0
 Kem dưỡng SKII LXP Ultimate Perfecting cream 50g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006065084,4979006065084,Có,7822,7550,7550,9250,7550,7650,Hũ,7822,0,7822,0,7822,0,7822,0,7822,0
