Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
5222-Viên uống DHC bổ sung Canxi + Magie 60 ngày,Sản phẩm thường,Thuốc - TPCN,4511413405222,4511413405222,Có,150000,160000,160000,250000,160000,165000,Gói,150000,0,150000,0,150000,0,150000,0,150000,0
5253-Viên uống chống ánh sáng xanh DHC 20v,Sản phẩm thường,Thuốc - TPCN,4511413405253,4511413405253,Có,165000,175000,170000,250000,175000,180000,gói,165000,6,165000,10,165000,6,165000,0,165000,0
5314-Viên uống giảm cân dầu dừa 20 viên DHC - 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413405314,4511413405314,Có,140000,150000,150000,250000,150000,155000,Gói,140000,0,140000,0,140000,0,140000,0,140000,0
Giảm cân DHC 20 ngày dừa bạc hà,Sản phẩm thường,Thuốc - TPCN,4511413405529,4511413405529,Có,180000,195000,190000,300000,195000,200000,Gói,180000,0,180000,2,180000,0,180000,0,180000,0
5574-Giảm cân DHC Hellokity,Sản phẩm thường,Thuốc - TPCN,4511413405574,4511413405574,Có,180000,195000,195000,300000,195000,200000,gói,180000,0,180000,0,180000,0,180000,0,180000,0
Viên uống DHC rau củ 15 ngày,Sản phẩm thường,Thuốc - TPCN,4511413405628,4511413405628,Có,95000,110000,105000,150000,110000,115000,Gói,95000,10,95000,0,95000,10,95000,0,95000,0
Viên uống DHC Rau Củ 90 ngày ,Sản phẩm thường,Thuốc - TPCN,4511413405697,4511413405697,Có,410000,430000,425000,650000,430000,535000,Gói,410000,10,410000,0,410000,0,410000,0,410000,0
5901-Viên uống bổ não DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413405901,4511413405901,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
5932-Viên uống Glucosamin 2000 DHC 120v,Sản phẩm thường,Thuốc - TPCN,4511413405932,4511413405932,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
5994- Viên uống bổ sung DHA EPA DHC 80v,Sản phẩm thường,Thuốc - TPCN,4511413405994,4511413405994,Có,65000,75000,70000,200000,75000,80000,gói,65000,0,65000,0,65000,1,65000,0,65000,0
6007-Viên uống bổ sung DHA DHC 60 ngày,Sản phẩm thường,Thuốc - TPCN,4511413406007,4511413406007,Có,185000,200000,195000,250000,200000,205000,Gói,185000,1,185000,0,185000,3,185000,0,185000,0
6120-Viên uống mầm đậu nành 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413406120,4511413406120,Có,150000,165000,160000,200000,165000,170000,Gói,150000,0,150000,1,150000,0,150000,0,150000,0
6168-Viên dầu hạt bí ngô DHC EX 60v,Sản phẩm thường,Thuốc - TPCN,4511413406168,4511413406168,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
6496-Viên uống bổ sung sắt DHC 120v,Sản phẩm thường,Thuốc - TPCN,4511413406496,4511413406496,Có,185000,205000,200000,300000,205000,210000,gói,185000,1,185000,1,185000,0,185000,0,185000,0
6571-Viên uống DHC giảm mỡ đùi 60 ngày,Sản phẩm thường,Thuốc - TPCN,4511413406571,4511413406571,Có,190000,215000,210000,300000,215000,220000,Gói,190000,0,190000,0,190000,0,190000,0,190000,0
Viên uống sáng da DHC 15 ngày,Sản phẩm thường,Thuốc - TPCN,4511413406601,4511413406601,Có,80000,88000,85000,150000,88000,90000,Gói,80000,10,80000,0,80000,6,80000,0,80000,0
6656-Viên uống thanh lọc cơ thể DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413406656,4511413406656,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
Viên uống sáng da DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413408944,4511413408944,Có,120000,135000,130000,240000,135000,140000,Gói,120000,0,120000,0,120000,0,120000,0,120000,0
Vitamin tổng hợp DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413602553,4511413602553,Có,75000,83000,80000,130000,83000,85000,Gói,75000,10,75000,0,75000,6,75000,0,75000,0
Thực phẩm bảo vệ sức khỏe Vitamin C DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413603741,4511413603741,Có,55000,63000,60000,95000,63000,65000,Gói,55000,10,55000,0,55000,6,55000,0,55000,0
Viên uống chống lão hóa Coenzyme Q10 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413611692,4511413611692,Có,200000,225000,220000,350000,225000,230000,Gói,200000,10,200000,0,200000,6,200000,0,200000,0
Viên uống Axit Folic 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413612446,4511413612446,Có,50000,58000,55000,90000,58000,60000,Gói ,50000,10,50000,0,50000,6,50000,0,50000,0
Viên uống Collagen DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413614846,4511413614846,Có,145000,160000,155000,270000,160000,165000,Gói,145000,10,145000,0,145000,10,145000,0,145000,0
Viên uống bổ sung Canxi DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413615348,4511413615348,Có,110000,125000,120000,200000,125000,130000,Gói,110000,10,110000,0,110000,6,110000,0,110000,0
