Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
4625-Trái cây lên men nho tím Suntory 720ml,Sản phẩm thường,Rượu - Thuốc lá,4901777194625,4901777194625,Có,140000,180000,180000,300000,180000,195000,Chai(12),140000,0,140000,0,140000,0,140000,0,140000,0
9463-Nước trái cây lên men Suntory nho xanh 720ml,Sản phẩm thường,Rượu - Thuốc lá,4901777194632,4901777194632,Có,140000,160000,150000,300000,160000,165000,Chai(12),140000,0,140000,1,140000,0,140000,0,140000,0
Rượu Yamazaki Whisky,Sản phẩm thường,Rượu - Thuốc lá,4901777233812,4901777233812,Có,2250,2380,2350,2650,2380,2420,chai,2250,0,2250,0,2250,0,2250,0,2250,0
Suntory whisky Royal 700ml,Sản phẩm thường,Rượu - Thuốc lá,4901777262959,4901777262959,Có,880000,900000,900000,1000,900000,920000,chai,880000,0,880000,0,880000,0,880000,0,880000,0
Rượu Hibiki Hamony,Sản phẩm thường,Rượu - Thuốc lá,4901777270688,4901777270688,Có,2150,2300,2250,2650,2300,2320,chai (12),2150,2,2150,3,2150,5,2150,0,2150,0
Rượu The Yamazaki 18 LMT,Sản phẩm thường,Rượu - Thuốc lá,4901777270862,4901777270862,Có,12000,12300,12300,13500,12300,12500,Chai,12000,0,12000,0,12000,0,12000,0,12000,0
Hibiki 21 Milited,Sản phẩm thường,Rượu - Thuốc lá,4901777271234,4901777271234,Có,18000,18500,18500,19800,18500,18200,chai,18000,0,18000,0,18000,0,18000,0,18000,0
9421-Rượu Chita Suntory Whisky 700ml,Sản phẩm thường,Rượu - Thuốc lá,4901777279421,4901777279421,Có,880000,1000,950000,1350,1000,1020,Chai(12),880000,3,880000,1,880000,2,880000,0,880000,0
Rượu khỉ,Sản phẩm thường,Rượu - Thuốc lá,4901777282254,4901777282254,Có,1850,2000,2000,2250,2000,1950,chai,1850,0,1850,0,1850,0,1850,0,1850,0
Rượu Ballantine Chrismast ,Sản phẩm thường,Rượu - Thuốc lá,4901777282438,4901777282438,Có,1100,1200,1200,1500,1200,1250,Chai,1100,0,1100,0,1100,0,1100,0,1100,0
