Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
4451-Bánh quy Rosenheim 15 gói ,Sản phẩm thường,Bánh kẹo,4970245184451,4970245184451,Có,350000,370000,370000,380000,370000,380000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
2892-Bánh Chocolate dâu việt quất Rosenheim,Sản phẩm thường,Bánh kẹo,4970245242892,4970245242892,Có,135000,150000,150000,195000,150000,155000,Hộp,135000,0,135000,0,135000,0,135000,0,135000,0
2908-Bánh quy hạnh nhân Rosenheim ,Sản phẩm thường,Bánh kẹo,4970245242908,4970245242908,Có,135000,150000,150000,195000,150000,155000,Hộp,135000,0,135000,0,135000,0,135000,0,135000,0
1616-Bánh bông lan tươi castella Ito Seika ,Sản phẩm thường,Bánh kẹo,4970616301616,4970616301616,Có,70000,78000,75000,30000,78000,8000,gói(12),70000,0,70000,0,70000,0,70000,0,70000,0
7373-Kẹo Gum hương nho 100 viên,Sản phẩm thường,Bánh kẹo,49707373,49707373,Có,200000,215000,210000,300000,215000,220000,Hũ(8),200000,0,200000,1,200000,0,200000,0,200000,0
7380-Kẹo Gum hương táo 100 viên,Sản phẩm thường,Bánh kẹo,49707380,49707380,Có,200000,215000,210000,300000,215000,220000,Hũ(8),200000,2,200000,0,200000,1,200000,0,200000,0
7397-Kẹo Gum hương Cola 100 viên,Sản phẩm thường,Bánh kẹo,49707397,49707397,Có,200000,215000,210000,300000,215000,220000,Hũ(100),200000,0,200000,1,200000,1,200000,0,200000,0
7502-Kẹo Gum hương soda 100 viên,Sản phẩm thường,Bánh kẹo,49707502,49707502,Có,200000,215000,210000,300000,215000,220000,Hũ(8),200000,0,200000,1,200000,0,200000,0,200000,0
5862-Kẹo cai thuốc lá ,Sản phẩm thường,Bánh kẹo,4971159015862,4971159015862,Có,85000,95000,90000,140000,95000,100000,gói(10),85000,0,85000,0,85000,0,85000,0,85000,0
Bánh Mochi dẻo,Sản phẩm thường,Bánh kẹo,4971675285596,4971675285596,Có,67000,75000,75000,60000,75000,75000,Hộp,67000,0,67000,0,67000,0,67000,0,67000,0
Hạt dẻ Kimura Organic 240g,Sản phẩm thường,Bánh kẹo,4972304803051,4972304803051,Có,90000,98000,98000,130000,98000,100000,gói (20),90000,0,90000,0,90000,0,90000,0,90000,0
3624-Hạt dẻ Kimura 100g ,Sản phẩm thường,Bánh kẹo,4972304803624,4972304803624,Có,30000,35000,35000,45000,35000,37000,Gói,30000,0,30000,0,30000,0,30000,0,30000,0
