Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Hộp đựng thức ăn,Sản phẩm thường,Hàng gia dụng,4955959120315,4955959120315,Có,31020,35000,35000,40000,35000,35000,cái,31020,0,31020,0,31020,0,31020,0,31020,0
Hộp đựng- thức ăn 45mlx2 cái,Sản phẩm thường,Hàng gia dụng,4955959125501,4955959125501,Có,36080,35000,35000,50000,35000,37000,cái,36080,0,36080,0,36080,0,36080,0,36080,0
Hộp nhựa màu hồng 380ml (set 3 cái),Sản phẩm thường,Hàng gia dụng,4955959129226,4955959129226,Có,27300,32000,32000,40000,32000,35000,Set,27300,7,27300,5,27300,8,27300,0,27300,0
Hộp nhựa màu xanh 380ml (set 3 cái),Sản phẩm thường,Hàng gia dụng,4955959129233,4955959129233,Có,27300,32000,31000,40000,32000,33000,Set,27300,3,27300,4,27300,7,27300,0,27300,0
Khay đựng đồ ăn dặm 8 ngăn có nắp Nakaya,Sản phẩm thường,Hàng gia dụng,4955959129806,4955959129806,Có,27300,31000,31000,40000,31000,30000,Cái,27300,3,27300,3,27300,6,27300,0,27300,0
Hộp nhựa màu hồng 650ml (2 hộp),Sản phẩm thường,Hàng gia dụng,4955959129929,4955959129929,Có,27300,30000,30000,40000,30000,32000,Cái,27300,7,27300,4,27300,5,27300,0,27300,0
Hộp nhựa màu xanh 650ml (2 hộp),Sản phẩm thường,Hàng gia dụng,4955959129936,4955959129936,Có,27300,31000,30000,40000,31000,32000,Cái,27300,3,27300,8,27300,6,27300,0,27300,0
0406-Đồ treo túi ni long Nakaya,Sản phẩm thường,Hàng gia dụng,4955959130406,4955959130406,Có,26000,32000,32000,40000,32000,33000,cái,26000,0,26000,0,26000,0,26000,0,26000,0
Hộp đựng thực phẩm 1.3L nắp dẻo Nakaya,Sản phẩm thường,Hàng gia dụng,4955959130505,4955959130505,Có,26000,32000,30000,40000,32000,35000,Cái,26000,8,26000,3,26000,2,26000,0,26000,0
Hộp đựng thức ăn,Sản phẩm thường,Hàng gia dụng,4955959130604,4955959130604,Có,37730,42000,42000,50000,42000,45000,cái,37730,0,37730,0,37730,0,37730,0,37730,0
Hộp nhựa nắp vặn mẫu hoa 650ml,Sản phẩm thường,Hàng gia dụng,4955959132400,4955959132400,Có,30550,33000,33000,45000,33000,35000,Hộp,30550,6,30550,4,30550,8,30550,0,30550,0
Cốc uống nước có nắp 300ml,Sản phẩm thường,Hàng gia dụng,4955959137900,4955959137900,Có,26000,31000,30000,40000,31000,32000,Cái,26000,4,26000,7,26000,8,26000,0,26000,0
Muỗng xới cơm NAKAYA,Sản phẩm thường,Hàng gia dụng,4955959142102,4955959142102,Có,23400,27000,27000,40000,27000,29000,Cái,23400,3,23400,5,23400,6,23400,0,23400,0
Hộp đựng thực phẩm 160mlx2,Sản phẩm thường,Hàng gia dụng,4955959144403,4955959144403,Có,29700,35000,35000,40000,35000,37000,cái,29700,1,29700,0,29700,0,29700,0,29700,0
Khay ăn chia 2 ngăn cho bé nakaya,Sản phẩm thường,Hàng gia dụng,4955959144816,4955959144816,Có,26000,32000,32000,40000,32000,32000,Cái,26000,7,26000,4,26000,8,26000,0,26000,0
"Bàn nạo rau, củ quả kèm bát đựng",Sản phẩm thường,Hàng gia dụng,4955959146803,4955959146803,Có,27300,32000,31000,40000,32000,33000,cái,27300,7,27300,8,27300,5,27300,0,27300,0
6902-Hũ bào rau Nakaya nhỏ,Sản phẩm thường,Hàng gia dụng,4955959146902,4955959146902,Có,28000,33000,33000,40000,33000,35000,cái,28000,1,28000,0,28000,0,28000,0,28000,0
Thìa đong gia vị màu sắc (4 cái),Sản phẩm thường,Hàng gia dụng,4955959149101,4955959149101,Có,24050,28000,28000,35000,28000,30000,Cái,24050,7,24050,5,24050,7,24050,0,24050,0
