Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
3055-Cắt móng tay Seria,Sản phẩm thường,Hàng gia dụng,4947879523055,4947879523055,Có,28000,33000,33000,40000,33000,35000, Cái,28000,1,28000,0,28000,0,28000,0,28000,0
3239-Bông ngoáy tai Seria 130 cái,Sản phẩm thường,Hàng gia dụng,4947879523239,4947879523239,Có,35000,40000,40000,55000,40000,45000,Hộp,35000,0,35000,0,35000,0,35000,0,35000,0
3321-Bông ngoáy tai 150 cái Seria,Sản phẩm thường,Hàng gia dụng,4947879523321,4947879523321,Có,35000,45000,45000,55000,45000,50000,Hộp,35000,0,35000,0,35000,0,35000,0,35000,0
3338-Bông ngoáy tai Seria 150 cái,Sản phẩm thường,Hàng gia dụng,4947879523338,4947879523338,Có,45000,50000,50000,80000,50000,55000,Hộp,45000,0,45000,0,45000,0,45000,0,45000,0
Miếng bọc cạnh bàn an toàn cho bé (Nhiều màu),Sản phẩm thường,Hàng gia dụng,4947879524984,4947879524984,Có,32340,33000,33000,40000,33000,35000,cái,32340,0,32340,0,32340,0,32340,0,32340,0
5844-Khay đựng rau củ Seria ,Sản phẩm thường,Hàng gia dụng,4947879525844,4947879525844,Có,28000,33000,33000,40000,33000,35000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
851 Rổ nhựa- úp chén đĩa,Sản phẩm thường,Hàng gia dụng,4947879525851,4947879525851,Có,40480,42000,42000,50000,42000,45000,cái,40480,0,40480,0,40480,0,40480,0,40480,0
868 Rổ nhựa- úp chén đĩa,Sản phẩm thường,Hàng gia dụng,4947879525868,4947879525868,Có,58520,65000,60000,80000,65000,65000,cái,58520,0,58520,0,58520,0,58520,0,58520,0
6625-Găng tay dài Seria ,Sản phẩm thường,Hàng gia dụng,4947879706625,4947879706625,Có,28000,35000,35000,50000,35000,35000,cái,28000,4,28000,0,28000,0,28000,0,28000,0
9732-Bao tay nilong Seria 100M,Sản phẩm thường,Hàng gia dụng,4947879709732,4947879709732,Có,26000,30000,30000,40000,30000,32000,cái,26000,0,26000,0,26000,0,26000,0,26000,0
