Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Mặt nạ tóc Clayge thảo dược 200g,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061067,4582300061067,Có,282000,300000,295000,400000,300000,305000,Tuýp,282000,0,282000,0,282000,0,282000,0,282000,0
Dầu gội Clayge chăm sóc hư tổn 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061227,4582300061227,Có,330000,345000,345000,450000,345000,355000,chai,330000,0,330000,0,330000,0,330000,0,330000,0
Dầu xả Clayge chăm sóc hư tổn 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061234,4582300061234,Có,330000,345000,345000,450000,345000,345000,chai,330000,0,330000,0,330000,0,330000,0,330000,0
Mặt nạ tóc Clayge 200g,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061241,4582300061241,Có,282000,300000,295000,400000,300000,305000,Tuýp,282000,0,282000,0,282000,0,282000,0,282000,0
Gel tóc Clayge cho nữ ,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061319,4582300061319,Có,282000,300000,295000,400000,300000,305000,Tuýp,282000,0,282000,0,282000,0,282000,0,282000,0
0020-Dầu gội xả con ngựa 600ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582400830020,4582400830020,Có,115000,130000,130000,200000,130000,135000,chai(16),115000,0,115000,0,115000,0,115000,0,115000,0
1019-Giấy khử mùi Maro for Body,Sản phẩm thường,Hóa Mỹ Phẩm,4582469491019,4582469491019,Có,80000,90000,85000,120000,90000,95000,Gói (24),80000,0,80000,0,80000,0,80000,0,80000,0
Thuốc mọc tóc Maro 17,Sản phẩm thường,Hóa Mỹ Phẩm,4582469493037,4582469493037,Có,480000,550000,550000,700000,550000,560000,Hộp ,480000,0,480000,0,480000,0,480000,0,480000,0
1896-Dầu gội Ahalo Butter 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4589919561896,4589919561896,Có,250000,265000,265000,350000,265000,270000,Chai( 48),250000,0,250000,0,250000,0,250000,0,250000,0
Dầu xả Ahalo Butter 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4589919561902,4589919561902,Có,250000,265000,265000,350000,265000,270000,chai,250000,0,250000,0,250000,0,250000,0,250000,0
2220-Dầu gội Ahalo Butter Smooth Repair 500ml ,Sản phẩm thường,Hóa Mỹ Phẩm,4589919562220,4589919562220,Có,250000,265000,265000,350000,265000,270000,chai,250000,0,250000,0,250000,0,250000,0,250000,0
2237-Dầu xả Ahalo Butter Smooth Repair 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4589919562237,4589919562237,Có,250000,265000,265000,350000,265000,270000,chai,250000,0,250000,0,250000,0,250000,0,250000,0
Kem trị thâm quầng mắt mỡ ngựa EX 18g,Sản phẩm thường,Hóa Mỹ Phẩm,4589949110026,4589949110026,Có,250000,300000,300000,400000,300000,280000,hộp,250000,0,250000,0,250000,0,250000,0,250000,0
Dầu gội Ayubio táo,Sản phẩm thường,Hóa Mỹ Phẩm,4589975540095,4589975540095,Có,160000,200000,200000,300000,200000,185000,chai,160000,0,160000,0,160000,0,160000,0,160000,0
Dầu gội Ayubio các loại hạt,Sản phẩm thường,Hóa Mỹ Phẩm,4589975540224,4589975540224,Có,160000,200000,200000,300000,200000,185000,chai,160000,0,160000,0,160000,0,160000,0,160000,0
Sữa tắm bò cam,Sản phẩm thường,Hóa Mỹ Phẩm,4691525006330,4691525006330,Có,110000,125000,125000,170000,125000,130000,Chai(12),110000,0,110000,0,110000,0,110000,0,110000,0
1927-Dao cạo râu Schick ,Sản phẩm thường,Hóa Mỹ Phẩm,4891228301927,4891228301927,Có,190000,220000,210000,320000,220000,225000,Cái,190000,2,190000,3,190000,1,190000,0,190000,0
3662-Set 8 lưỡi dao cạo Schick ,Sản phẩm thường,Hóa Mỹ Phẩm,4891228303662,4891228303662,Có,180000,210000,200000,300000,210000,220000,Set,180000,0,180000,1,180000,0,180000,0,180000,0
Tinh dầu muỗi 60 ngày hương hoa ,Sản phẩm thường,Hóa Mỹ Phẩm,4901080120113,4901080120113,Có,135000,170000,165000,230000,170000,175000,hộp,135000,0,135000,0,135000,0,135000,0,135000,0
Tinh dầu đuổi muỗi hương hoa 60 ngày,Sản phẩm thường,Hóa Mỹ Phẩm,4901080120212,4901080120212,Có,135000,170000,165000,230000,170000,175000,hộp,135000,0,135000,8,135000,0,135000,0,135000,0
Tinh dầu muỗi 60 ngày set 1,Sản phẩm thường,Hóa Mỹ Phẩm,4901080120311,4901080120311,Có,80000,85000,85000,115000,85000,90000,Hộp,80000,0,80000,0,80000,0,80000,0,80000,0
