Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Xịt thơm phòng  hoa hồng 330ml ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070124855,4901070124855,Có,70000,75000,75000,100000,75000,80000,Chai (24),70000,0,70000,0,70000,0,70000,0,70000,0
4893-Thơm phòng Premium Aroma cam 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070124893,4901070124893,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
Khử mùi cao cấp dùng cho ô tô hương cherry,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070125265,4901070125265,Có,91000,98000,98000,140000,98000,105000,Cái,91000,1,91000,4,91000,0,91000,0,91000,0
5661 Xịt thơm phòng hương than củi,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070125661,4901070125661,Có,58000,68000,68000,100000,68000,72000,Chai,58000,0,58000,0,58000,0,58000,0,58000,0
6620-Thơm phòng Aroma Modern Elegance 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070126620,4901070126620,Có,88000,98000,98000,140000,98000,100000,Chai,88000,0,88000,0,88000,0,88000,0,88000,0
6897-Thơm phòng Premium Aroma Luminous Noble 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070126897,4901070126897,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
Chai tẩy lồng giặt Ultra Powers cao cấp 550gr,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070909780,4901070909780,Có,59150,67000,65000,95000,67000,68000,Chai,59150,7,59150,15,59150,5,59150,0,59150,0
3206-Thuốc diệt chuột Dethmor,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080053206,4901080053206,Có,80000,90000,85000,140000,90000,92000,Hộp(20),80000,23,80000,27,80000,18,80000,0,80000,0
Thuốc diệt chuột Dethmor Pro,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080053411,4901080053411,Có,90000,87000,85000,140000,87000,90000,Hộp (20),90000,0,90000,0,90000,0,90000,0,90000,0
Tinh dầu đuổi muỗi 90 ngày hoa hồng,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080118714,4901080118714,Có,195000,200000,200000,250000,200000,220000,set,195000,0,195000,0,195000,0,195000,0,195000,0
Tinh dầu muỗi 90 ngày lavender,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080119018,4901080119018,Có,195000,200000,200000,250000,200000,220000,hộp,195000,0,195000,0,195000,0,195000,0,195000,0
Tinh dầu muỗi 90 ngày,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080121011,4901080121011,Có,195000,230000,230000,250000,230000,230000,hộp,195000,0,195000,0,195000,0,195000,0,195000,0
Tinh dầu muỗi 60 ngày set 3,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080121219,4901080121219,Có,260000,275000,275000,300000,275000,280000,Set,260000,0,260000,0,260000,0,260000,0,260000,0
4517-Tinh dầu muỗi 60 ngày xám,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080124517,4901080124517,Có,135000,165000,165000,230000,165000,170000,hộp,135000,0,135000,0,135000,0,135000,0,135000,0
8313-Xịt đuổi muỗi màu xanh 200ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901080168313,4901080168313,Có,160000,170000,170000,230000,170000,175000,chai,160000,0,160000,0,160000,0,160000,0,160000,0
