Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Quần tất chống xước Regart 20D màu da size M set 3,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4536667000108,4536667000108,Có,159250,170000,170000,250000,170000,175000,Cái,159250,3,159250,4,159250,14,159250,0,159250,0
0536v-Khăn bếp 4 màu,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4545244970536,4545244970536,Có,28000,35000,32000,45000,35000,37000,Cái(16x10),28000,371,28000,15,28000,16,28000,0,28000,0
Khẩu trang Muji 5M,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4547315253098,4547315253098,Có,55000,60000,60000,90000,60000,65000,gói,55000,0,55000,0,55000,0,55000,0,55000,0
Áo len Lacost ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4547447158841,4547447158841,Có,1350,1450,1450,1950,1450,1500,Cái,1350,1,1350,0,1350,0,1350,0,1350,0
Áo sát nách Lacost nữ ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4547447221798,4547447221798,Có,1250,1400,1400,1950,1400,1450,cái ,1250,0,1250,0,1250,0,1250,0,1250,0
Áo lót không gọng Wing size M (2600) ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",454772,454772,Có,270000,350000,350000,500000,350000,350000,Cái,270000,0,270000,0,270000,0,270000,0,270000,0
Quần lót Tuyaka Date Wing,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",454773,454773,Có,120000,135000,135000,180000,135000,140000,Cái,120000,0,120000,0,120000,0,120000,0,120000,0
Áo lót không gọng Wing size L (2600),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",454774,454774,Có,270000,350000,350000,500000,350000,360000,Cái,270000,0,270000,0,270000,0,270000,0,270000,0
Áo lót không gọng Wing size XL (2600),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",454776,454776,Có,0,380000,380000,500000,380000,350000,cái,0,0,0,0,0,0,0,0,0,0
8091v- Khăn lông có mũ ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4548266298091,4548266298091,Có,250000,270000,270000,320000,270000,285000,Cái,250000,0,250000,0,250000,0,250000,0,250000,0
9614v- Khăn lông thể thao ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4548266396414,4548266396414,Có,200000,230000,230000,300000,230000,235000,Cái,200000,0,200000,0,200000,0,200000,0,200000,0
Áo lót Tuyaka ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",45484,45484,Có,300000,330000,330000,380000,330000,330000, Cái,300000,0,300000,0,300000,0,300000,0,300000,0
