Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
9962-Sữa bầu Morinaga Cà Phê,Sản phẩm thường,Tã sữa,4902720119962,4902720119962,Có,190000,200000,195000,280000,200000,205000,Hộp(12),190000,17,190000,24,190000,12,190000,0,190000,0
9986-Sữa bầu Morinaga Trà Sữa,Sản phẩm thường,Tã sữa,4902720119986,4902720119986,Có,190000,200000,195000,280000,200000,205000,Hộp(12),190000,14,190000,16,190000,11,190000,0,190000,0
0005-Sữa bầu Morinaga Trà Xanh,Sản phẩm thường,Tã sữa,4902720120005,4902720120005,Có,190000,200000,195000,280000,200000,205000,Hộp(12),190000,16,190000,34,190000,22,190000,0,190000,0
"Sữa Morinaga dinh dưỡng vị dâu (bé trên 1,5 tuổi)",Sản phẩm thường,Tã sữa,4902720130950,4902720130950,Có,150000,157000,155000,200000,157000,160000,hộp (12),150000,1,150000,0,150000,0,150000,0,150000,0
"Sữa Morinaga dinh dưỡng vani (bé trên 1,5 tuổi)",Sản phẩm thường,Tã sữa,4902720130974,4902720130974,Có,150000,155000,150000,200000,155000,160000,Hộp (12),150000,0,150000,0,150000,0,150000,0,150000,0
0355-Sữa Morinaga dinh dưỡng vị dâu 216g,Sản phẩm thường,Tã sữa,4902720140355,4902720140355,Có,155000,170000,165000,170000,170000,175000,Gói(12),155000,13,155000,19,155000,8,155000,0,155000,0
0379-Sữa Morinaga dinh dưỡng vị sữa chua 216g,Sản phẩm thường,Tã sữa,4902720140379,4902720140379,Có,155000,170000,165000,170000,170000,175000,Gói(12),155000,55,155000,14,155000,15,155000,0,155000,0
Tã Moony quần XXL26 trai,Sản phẩm thường,Tã sữa,4903111168378,4903111168378,Có,310000,330000,330000,395000,330000,335000,gói (3),310000,0,310000,9,310000,0,310000,0,310000,0
Tã Moony quần XXL26 gái,Sản phẩm thường,Tã sữa,4903111168453,4903111168453,Có,295000,330000,330000,395000,330000,335000,gói 3,295000,0,295000,6,295000,0,295000,0,295000,0
Tã Moony quần M58,Sản phẩm thường,Tã sữa,4903111183258,4903111183258,Có,295000,330000,330000,370000,330000,335000,gói,295000,0,295000,0,295000,0,295000,0,295000,0
Tã Moony quần L44 trai,Sản phẩm thường,Tã sữa,4903111183418,4903111183418,Có,295000,330000,330000,370000,330000,335000,gói,295000,2,295000,1,295000,0,295000,0,295000,0
Tã Moony quần XL38 trai,Sản phẩm thường,Tã sữa,4903111183685,4903111183685,Có,295000,330000,330000,370000,330000,335000,gói,295000,0,295000,3,295000,0,295000,0,295000,0
Tã Moony quần XL38 gái,Sản phẩm thường,Tã sữa,4903111183760,4903111183760,Có,295000,330000,330000,370000,330000,335000,gói,295000,3,295000,0,295000,0,295000,0,295000,0
Tã Moony quần L44 trai New,Sản phẩm thường,Tã sữa,4903111206155,4903111206155,Có,295000,315000,305000,370000,315000,320000,gói(2),295000,5,295000,4,295000,2,295000,0,295000,0
Tã Moony quần L44 gái mới,Sản phẩm thường,Tã sữa,4903111206438,4903111206438,Có,295000,315000,305000,370000,315000,320000,gói(2),295000,5,295000,14,295000,0,295000,0,295000,0
Tã Moony quần Xl38 trai mới,Sản phẩm thường,Tã sữa,4903111207671,4903111207671,Có,310000,310000,305000,370000,310000,320000,gói(2),310000,5,310000,9,310000,4,310000,0,310000,0
Tã Moony quần XL38 gái new,Sản phẩm thường,Tã sữa,4903111208098,4903111208098,Có,295000,310000,305000,370000,310000,320000,gói(2),295000,10,295000,0,295000,6,295000,0,295000,0
Tã Moony dán M64,Sản phẩm thường,Tã sữa,4903111211050,4903111211050,Có,295000,330000,330000,370000,330000,335000,gói,295000,10,295000,0,295000,0,295000,0,295000,0
Tã Moony dán L54,Sản phẩm thường,Tã sữa,4903111211302,4903111211302,Có,295000,330000,330000,370000,330000,335000,gói,295000,1,295000,0,295000,0,295000,0,295000,0
Tã Moony Natural dán NB66,Sản phẩm thường,Tã sữa,4903111220793,4903111220793,Có,330000,350000,340000,420000,350000,360000,Gói,330000,1,330000,0,330000,0,330000,0,330000,0
Tã Moony dán XL44,Sản phẩm thường,Tã sữa,4903111235889,4903111235889,Có,315000,330000,330000,370000,330000,335000,gói,315000,1,315000,3,315000,0,315000,0,315000,0
Tã Moony Natural dán NB63,Sản phẩm thường,Tã sữa,4903111239887,4903111239887,Có,338000,350000,340000,420000,350000,360000,Gói(4),338000,14,338000,14,338000,2,338000,0,338000,0
Tã Moony Natural dán S58 ,Sản phẩm thường,Tã sữa,4903111241149,4903111241149,Có,330000,350000,340000,420000,350000,360000,Gói,330000,13,330000,12,330000,8,330000,0,330000,0
Tã Moony Natural dán M46,Sản phẩm thường,Tã sữa,4903111241439,4903111241439,Có,330000,350000,340000,420000,350000,360000,Gói,330000,10,330000,3,330000,0,330000,0,330000,0
Tã Moony Natural dán L38,Sản phẩm thường,Tã sữa,4903111242030,4903111242030,Có,330000,350000,340000,420000,350000,360000,Gói,330000,18,330000,0,330000,15,330000,0,330000,0
Tã Moony Natural quần S50,Sản phẩm thường,Tã sữa,4903111242320,4903111242320,Có,338000,350000,340000,420000,350000,360000,Gói(3),338000,9,338000,2,338000,0,338000,0,338000,0
Tã Moony Natural quần M46,Sản phẩm thường,Tã sữa,4903111242610,4903111242610,Có,330000,360000,355000,420000,360000,365000,Gói,330000,8,330000,25,330000,7,330000,0,330000,0
Tã Moony Natural quần L36,Sản phẩm thường,Tã sữa,4903111243099,4903111243099,Có,330000,350000,340000,420000,350000,360000,gói(2),330000,7,330000,22,330000,7,330000,0,330000,0
Tã Moony Natural quần XL32,Sản phẩm thường,Tã sữa,4903111243150,4903111243150,Có,330000,350000,340000,420000,350000,360000,gói(2),330000,9,330000,2,330000,5,330000,0,330000,0
Tã Moony dán NB90 New,Sản phẩm thường,Tã sữa,4903111243501,4903111243501,Có,295000,315000,305000,370000,315000,320000,gói,295000,12,295000,11,295000,7,295000,0,295000,0
Tã Moony dán S84 New,Sản phẩm thường,Tã sữa,4903111244102,4903111244102,Có,295000,315000,305000,370000,315000,320000,gói,295000,14,295000,13,295000,1,295000,0,295000,0
Tã Moony dán M64 New,Sản phẩm thường,Tã sữa,4903111244621,4903111244621,Có,295000,315000,305000,370000,315000,320000,gói(2),295000,8,295000,9,295000,11,295000,0,295000,0
