Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Snack nón bắp màu đỏ,Sản phẩm thường,Ăn Uống,4902402877791,4902402877791,Có,32000,40000,40000,55000,40000,40000,Hộp,32000,0,32000,0,32000,0,32000,0,32000,0
Snack bắp nón ,Sản phẩm thường,Ăn Uống,4902402881897,4902402881897,Có,36000,41000,41000,60000,41000,45000,hộp(20),36000,0,36000,0,36000,0,36000,0,36000,0
3167-Snack bắp nón vị kem House Tongari,Sản phẩm thường,Ăn Uống,4902402883167,4902402883167,Có,37000,45000,42000,60000,45000,47000,Hộp(20),37000,0,37000,0,37000,0,37000,0,37000,0
6991-Snack bắp nón House Tongori,Sản phẩm thường,Ăn Uống,4902402886991,4902402886991,Có,37000,45000,45000,60000,45000,47000,Hộp(20),37000,0,37000,0,37000,0,37000,0,37000,0
0021-Thịt gà nướng hộp HOKO 80g,Sản phẩm thường,Ăn Uống,4902431020021,4902431020021,Có,15000,22000,17000,25000,22000,25000,Hộp(24),15000,0,15000,0,15000,0,15000,0,15000,0
Thịt gà tương,Sản phẩm thường,Ăn Uống,4902431020038,4902431020038,Có,18000,22000,22000,30000,22000,25000,Hộp (24),18000,0,18000,0,18000,0,18000,0,18000,0
Thịt kho trứng,Sản phẩm thường,Ăn Uống,4902431021141,4902431021141,Có,18000,22000,22000,30000,22000,25000,hộp (24),18000,0,18000,0,18000,0,18000,0,18000,0
Trà chanh 275ml ,Sản phẩm thường,Ăn Uống,4902471009024,4902471009024,Có,18750,25000,25000,30000,25000,25000,chai (24),18750,0,18750,0,18750,0,18750,0,18750,0
Nước uống caramel bánh flan POKKA SAPPORO,Sản phẩm thường,Ăn Uống,4902471018583,4902471018583,Có,21000,26000,25000,35000,26000,27000,Chai(30),21000,8,21000,0,21000,6,21000,0,21000,0
Trà chanh 275ml,Sản phẩm thường,Ăn Uống,4902471509029,4902471509029,Có,450000,520000,520000,650000,520000,525000,Thùng,450000,0,450000,0,450000,0,450000,0,450000,0
