Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
7827-Kem dưỡng thể body Kose hoa hồng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387827,4971710387827,Có,85000,90000,90000,140000,90000,92000,Tuýp(36),85000,0,85000,0,85000,0,85000,0,85000,0
7834-Kem dưỡng thể body Kose hoa oải hương,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387834,4971710387834,Có,85000,90000,92000,140000,90000,92000,Tuýp(36),85000,0,85000,0,85000,1,85000,0,85000,0
7841-Kem dưỡng thể body Kose đào,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387841,4971710387841,Có,85000,90000,92000,140000,90000,92000,Tuýp (36),85000,0,85000,0,85000,0,85000,0,85000,0
7858-Kem dưỡng thể body Kose mâm xôi ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387858,4971710387858,Có,85000,90000,92000,140000,90000,92000,Tuýp(36),85000,0,85000,1,85000,0,85000,0,85000,0
7902-MN Kose than đen hoạt tính 5M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387902,4971710387902,Có,122950,170000,170000,220000,170000,175000,Hộp,122950,0,122950,0,122950,0,122950,0,122950,0
Kem dưỡng tay Q10 Extra Guard 80g - tuýp vàng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710389401,4971710389401,Có,83000,90000,88000,120000,90000,92000,Tuýp,83000,11,83000,6,83000,0,83000,0,83000,0
0018-SRM Natu Savon Chamomile & Pear,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390018,4971710390018,Có,120000,450000,450000,170000,450000,450000,tuýp,120000,0,120000,0,120000,0,120000,0,120000,0
0025-SRM Natu Savon Apple & Jasmine 130g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390025,4971710390025,Có,120000,75000,75000,170000,75000,80000,tuýp,120000,0,120000,0,120000,0,120000,0,120000,0
0315-Kem dưỡng tay Kose hoa hồng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390315,4971710390315,Có,55000,62000,60000,100000,62000,65000,Tuýp,55000,0,55000,0,55000,0,55000,0,55000,0
8618-Kem dưỡng tay Kose oải hương,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390322,4971710390322,Có,55000,60000,60000,100000,60000,65000,Tuýp(48),55000,0,55000,0,55000,0,55000,0,55000,0
