Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bộ nồi Kirkkland 13 món,Sản phẩm thường,Hàng gia dụng nhóm 1,096619590780,096619590780,Có,5500,5800,5800,6500,5800,6000,cái,5500,0,5500,0,5500,0,5500,0,5500,0
Bộ nồi Kirkland 15 món không dùng IH,Sản phẩm thường,Hàng gia dụng nhóm 1,096619652549,096619652549,Có,3500,3650,3650,4000,3650,3700,Bộ,3500,0,3500,0,3500,0,3500,0,3500,0
Bồn rửa mặt lớn,Sản phẩm thường,Hàng gia dụng nhóm 1,100,100,Có,28000,30000,30000,32000,30000,30500,Bộ,28000,0,28000,0,28000,0,28000,0,28000,0
Chảo Ballarini  size 24cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,10002,10002,Có,400000,450000,450000,700000,450000,470000,cái,400000,0,400000,0,400000,0,400000,0,400000,0
Bàn ủi cũ,Sản phẩm thường,Hàng gia dụng nhóm 1,100211,100211,Có,250000,300000,300000,500000,300000,310000,Cái,250000,0,250000,0,250000,0,250000,0,250000,0
Chảo Ballarini size 28cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,1003,1003,Có,700000,750000,750000,950000,750000,770000,Cái,700000,0,700000,0,700000,0,700000,0,700000,0
Cặp siêu nhẹ,Sản phẩm thường,Hàng gia dụng nhóm 1,10101,10101,Có,1400,1650,1650,1600,1650,1700,cái,1400,0,1400,0,1400,0,1400,0,1400,0
Bộ nồi chảo 4 món IKEA,Sản phẩm thường,Hàng gia dụng nhóm 1,10286417230899,10286417230899,Có,1560,1700,1650,2200,1700,1750,Set,1560,2,1560,0,1560,0,1560,0,1560,0
Đèn Toshiba lớn ,Sản phẩm thường,Hàng gia dụng nhóm 1,15103,15103,Có,1800,2050,2050,2500,2050,2150,cái,1800,0,1800,0,1800,0,1800,0,1800,0
Micro Karaoke không dây K18U,Sản phẩm thường,Hàng gia dụng nhóm 1,1515002,1515002,Có,1650,1800,1800,2100,1800,1850,Cái,1650,0,1650,0,1650,0,1650,0,1650,0
Lọ xay tiêu thủy tinh Ikea,Sản phẩm thường,Hàng gia dụng nhóm 1,15234,15234,Có,180000,195000,195000,280000,195000,200000,cái,180000,37,180000,4,180000,3,180000,0,180000,0
Thảm bếp 44cm x180cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,181443,181443,Có,415000,470000,460000,650000,470000,480000,Cái,415000,0,415000,0,415000,0,415000,0,415000,0
1827-Đồ ép tỏi Ikea,Sản phẩm thường,Hàng gia dụng nhóm 1,1827,1827,Có,230000,250000,250000,350000,250000,260000,cái,230000,1,230000,0,230000,0,230000,0,230000,0
Nồi cơm Toshiba 1.8L có áp suất,Sản phẩm thường,Hàng gia dụng nhóm 1,18MT,18MT,Có,8200,8500,8500,9500,8500,8700,Cái,8200,0,8200,0,8200,0,8200,0,8200,0
Dù gấp cao cấp cỡ đại,Sản phẩm thường,Hàng gia dụng nhóm 1,1900,1900,Có,210000,250000,250000,350000,250000,260000,cái,210000,0,210000,0,210000,0,210000,0,210000,0
Dù gấp ,Sản phẩm thường,Hàng gia dụng nhóm 1,19001,19001,Có,240000,260000,260000,350000,260000,270000,Cây,240000,0,240000,0,240000,0,240000,0,240000,0
Dù cây thể thao ,Sản phẩm thường,Hàng gia dụng nhóm 1,190013,190013,Có,700000,750000,750000,950000,750000,780000,Cây,700000,0,700000,0,700000,0,700000,0,700000,0
Dù cán dài IKEA ,Sản phẩm thường,Hàng gia dụng nhóm 1,190014,190014,Có,200000,240000,240000,350000,240000,250000,Cây,200000,0,200000,0,200000,0,200000,0,200000,0
Dù gấp mở bấm tự động SAI,Sản phẩm thường,Hàng gia dụng nhóm 1,19002,19002,Có,260000,275000,270000,350000,275000,280000,Cây,260000,0,260000,0,260000,0,260000,0,260000,0
Máy thuốc lá,Sản phẩm thường,Hàng gia dụng nhóm 1,190183,190183,Có,450000,500000,500000,700000,500000,510000,Set,450000,2,450000,0,450000,0,450000,0,450000,0
Chảo FJADERFA 24cm,Sản phẩm thường,Hàng gia dụng nhóm 1,1908212299,1908212299,Có,360000,420000,410000,550000,420000,430000,Cái,360000,2,360000,0,360000,2,360000,0,360000,0
5840-Thảm 44x180cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,2000010625840,2000010625840,Có,450000,480000,470000,650000,480000,490000,Cái,450000,0,450000,1,450000,2,450000,0,450000,0
