Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Kem Lotte Ghana Rich 300ml,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823388700,4953823388700,Có,96000,100000,97000,130000,100000,102000,Hộp (8),96000,6,96000,1,96000,6,96000,0,96000,0
Kem Lotte 9v Mochi Yukimi Daifuku Socola,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823982533,4953823982533,Có,58181,,,85000,,,hộp,58181,5,58181,1,58181,4,58181,0,58181,0
0019-Thanh cua Osaki 500g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4971311000019,4971311000019,Có,220000,245000,240000,300000,245000,250000,Gói,220000,2,220000,3,220000,0,220000,0,220000,0
5362-Hào nguyên vỏ 12 con,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4972832615362,4972832615362,Có,760000,800000,800000,980000,800000,820000,Gói,760000,0,760000,0,760000,0,760000,0,760000,0
Rong biển Akatosaka 500g đỏ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4975041700089,4975041700089,Có,220000,230000,230000,200000,230000,240000,Gói,220000,0,220000,0,220000,0,220000,0,220000,0
Rong biển Akatosaka 500g xanh,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4975041700096,4975041700096,Có,220000,230000,230000,300000,230000,240000,Gói ,220000,0,220000,0,220000,0,220000,0,220000,0
5110-Mực trứng 220g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4975233115110,4975233115110,Có,320000,340000,340000,480000,340000,350000,Bich,320000,0,320000,0,320000,0,320000,0,320000,0
Nấm tươi Nhật ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4979754554151,4979754554151,Có,40000,45000,45000,60000,45000,45000,Gói,40000,0,40000,0,40000,0,40000,0,40000,0
0812-Nho đen kẹo Anthony ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),6009517220073,6009517220073,Có,87500,165000,155000,130000,165000,,Hộp(12),87500,0,87500,0,87500,0,87500,0,87500,0
Cam Navel Mỹ (túi),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),605049478218,605049478218,Có,115000,40000,40000,150000,40000,40000,Túi,115000,0,115000,0,115000,0,115000,0,115000,0
Dâu Nhật VIP Sốp,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),69874,69874,Có,80000,90000,90000,110000,90000,95000,Trái,80000,0,80000,0,80000,0,80000,0,80000,0
Tương Miso hũ ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),7387,7387,Có,11000,14000,14000,25000,14000,15500,Hũ,11000,2,11000,0,11000,0,11000,0,11000,0
Việt quất Mỹ Naturipe 125gr,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),812049006109,812049006109,Có,58500,105000,105000,120000,105000,105000,Hộp(12),58500,0,58500,0,58500,0,58500,0,58500,0
8982-Hồng sấy lát Hàn Quốc,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8809159458982,8809159458982,Có,237500,255000,255000,350000,255000,260000,hộp (12),237500,0,237500,0,237500,0,237500,0,237500,0
9231-Hồng khô Hàn Quốc 12 trái 450g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8809159459231,8809159459231,Có,330000,350000,350000,290000,350000,360000,Hộp(10),330000,0,330000,0,330000,0,330000,0,330000,0
Kiwi ruột đỏ Hàn Quốc Halla,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8809278988995,8809278988995,Có,145000,165000,165000,220000,165000,170000,Hộp,145000,0,145000,0,145000,0,145000,0,145000,0
Thanh Cua Kanibo 500g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8852172101908,8852172101908,Có,90000,105000,105000,150000,105000,110000,Bịch,90000,0,90000,0,90000,0,90000,0,90000,0
Thanh cua Kanibi 250g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8852172102141,8852172102141,Có,70000,85000,85000,110000,85000,90000,Bịch,70000,0,70000,0,70000,0,70000,0,70000,0
Kem viên King's Bites chocolate,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815004808,8853815004808,Có,11000,14000,13000,20000,14000,15000,Cây (30),11000,29,11000,16,11000,24,11000,0,11000,0
Kem bánh vị socola,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815006147,8853815006147,Có,12500,7500,7500,20000,7500,8000,Cái (24),12500,6,12500,0,12500,0,12500,0,12500,0
Kem bánh vị sầu riêng,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815006154,8853815006154,Có,12500,300000,300000,20000,300000,300000,Cái (24),12500,2,12500,0,12500,0,12500,0,12500,0
Kem bánh vị khoai môn,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815006161,8853815006161,Có,12500,55000,55000,20000,55000,55000,Cái (24),12500,2,12500,0,12500,1,12500,0,12500,0
Kem bánh vị xoài,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815006284,8853815006284,Có,12500,38000,38000,20000,38000,40000,Cái (24),12500,3,12500,0,12500,4,12500,0,12500,0
Kem bánh vị việt quất,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8853815006369,8853815006369,Có,12500,50000,50000,20000,50000,50000,Cái (24),12500,5,12500,0,12500,3,12500,0,12500,0
Me không vỏ không hạt Thái Lan 280g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8857102250466,8857102250466,Có,171500,190000,190000,220000,190000,185000,Hộp (28),171500,0,171500,0,171500,0,171500,0,171500,0
Bánh Hồ Đào Maple (40Gr x 6 cái),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8938531657009,8938531657009,Có,66818,,,95000,,,Hộp,66818,0,66818,0,66818,0,66818,0,66818,0
Bánh Táo Vuông (40Gr x 6 cái),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8938531657023,8938531657023,Có,51818,75000,75000,75000,75000,75000,Hộp,51818,0,51818,0,51818,0,51818,0,51818,0
Bánh Croissant Bơ (60Gr x 6 cái),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8938531657047,8938531657047,Có,71591,99000,99000,99000,99000,99000,Hộp,71591,0,71591,0,71591,0,71591,0,71591,0
Bánh Chocola Xoắn 40Gr,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8938531657061,8938531657061,Có,58636,35000,35000,85000,35000,37000,Hộp,58636,0,58636,0,58636,0,58636,0,58636,0
Bánh Chocola Cuộn (30Gr x 8 cái),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8938531657078,8938531657078,Có,54545,75000,75000,75000,75000,75000,Hộp,54545,0,54545,0,54545,0,54545,0,54545,0
8983-Hồng sấy Hàn Quốc lẻ ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),8983,8983,Có,260000,300000,300000,340000,300000,285000,hộp,260000,0,260000,0,260000,0,260000,0,260000,0
8038-Việt Quất Ozblu 125g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),9421019870018,9421019870018,Có,70833,105000,105000,120000,105000,110000,Hộp (12),70833,0,70833,0,70833,0,70833,0,70833,0
8047-Táo Rockit Newzealand lock 4 trái,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),9421903788030,9421903788030,Có,105000,115000,110000,155000,115000,120000,Hộp,105000,0,105000,0,105000,0,105000,0,105000,0
