Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Nước hoa Dolce Gabbana Light Blue 100ml,Sản phẩm thường,KCN - Nước hoa,504286,504286,Có,1350,1700,1700,1950,1700,1700,chai,1350,0,1350,0,1350,0,1350,0,1350,0
Nước hoa Ronaldo,Sản phẩm thường,KCN - Nước hoa,5060152405943,5060152405943,Có,950000,1150,1150,1350,1150,1150,chai,950000,0,950000,0,950000,0,950000,0,950000,0
Kem chống nắng Biore,Sản phẩm thường,KCN - Nước hoa,60012,60012,Có,125000,130000,130000,170000,130000,135000,tuýp,125000,0,125000,0,125000,0,125000,0,125000,0
Nước hoa GUCCI rush 30ml,Sản phẩm thường,KCN - Nước hoa,6529765197,6529765197,Có,800000,1050,1050,1250,1050,1050,chai,800000,0,800000,0,800000,0,800000,0,800000,0
Nước hoa BVLGARI Pour Homme Soir,Sản phẩm thường,KCN - Nước hoa,6710421492,6710421492,Có,1100,1450,1450,1650,1450,1450,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa BVLGARI Pour Homme,Sản phẩm thường,KCN - Nước hoa,6790067702,6790067702,Có,1300,1500,1500,1750,1500,1500,chai,1300,0,1300,0,1300,0,1300,0,1300,0
Nước hoa BVLGARI Pour Homme 100ml,Sản phẩm thường,KCN - Nước hoa,6790131021,6790131021,Có,1100,1450,1450,1600,1450,1450,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa Chloe' 30ml,Sản phẩm thường,KCN - Nước hoa,688575201901,688575201901,Có,950000,1100,1100,1250,1100,1100,chai,950000,0,950000,0,950000,0,950000,0,950000,0
Kem chống nắng  Shiseido sum medic (H),Sản phẩm thường,KCN - Nước hoa,697925,697925,Có,250000,270000,270000,320000,270000,275000,Tuýp,250000,3,250000,1,250000,0,250000,0,250000,0
Nước hoa D&G,Sản phẩm thường,KCN - Nước hoa,7168509036,7168509036,Có,500000,600000,600000,700000,600000,600000,chai,500000,0,500000,0,500000,0,500000,0,500000,0
Nước hoa Dolce & Gabbana Light Blue 100 ml,Sản phẩm thường,KCN - Nước hoa,7202467643,7202467643,Có,1300,1700,1700,1950,1700,1700,chai,1300,0,1300,0,1300,0,1300,0,1300,0
Nước Hoa D&G Light Blue,Sản phẩm thường,KCN - Nước hoa,7203504286,7203504286,Có,1350,1600,1600,1950,1600,1600,chai,1350,0,1350,0,1350,0,1350,0,1350,0
8894-KCN Anessa Gel 32g SPF50++,Sản phẩm thường,KCN - Nước hoa,729238158894,729238158894,Có,122461,135000,130000,200000,135000,137000,Tuýp,122461,4,122461,2,122461,4,122461,0,122461,0
Xịt CN Body Anessa Perfect UV Sunscreen Bubble Spray SPF50+ PA++++ 60g,Sản phẩm thường,KCN - Nước hoa,729238162075,729238162075,Có,278400,305000,300000,420000,305000,310000,Chai,278400,9,278400,5,278400,4,278400,0,278400,0
Nước Hoa GUCCI Pour Homme 50 ml,Sản phẩm thường,KCN - Nước hoa,730870175903,730870175903,Có,800000,950000,900000,1100,950000,980000,chai,800000,0,800000,0,800000,0,800000,0,800000,0
Nước hoa Dolce & Gabbana 50ml,Sản phẩm thường,KCN - Nước hoa,737052036632,737052036632,Có,1450,1600,1600,1950,1600,1650,Hộp,1450,0,1450,0,1450,0,1450,0,1450,0
Nước hoa D&G,Sản phẩm thường,KCN - Nước hoa,737052074306,737052074306,Có,500000,650000,650000,750000,650000,650000,chai,500000,0,500000,0,500000,0,500000,0,500000,0
Nước hoa HUGO 40ml ,Sản phẩm thường,KCN - Nước hoa,737052465364,737052465364,Có,900000,1050,1050,1250,1050,1050,Hộp,900000,0,900000,0,900000,0,900000,0,900000,0
Nước hoa Gucci Flora Gracious 50ml,Sản phẩm thường,KCN - Nước hoa,737052522456,737052522456,Có,1100,1250,1250,1550,1250,1280,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa Nữ Gucci Flora Gracious Tuberose 50ml,Sản phẩm thường,KCN - Nước hoa,737052522630,737052522630,Có,1100,1250,1250,1550,1250,1300,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa Gucci Flora 50ml,Sản phẩm thường,KCN - Nước hoa,737052643496,737052643496,Có,1100,1250,1250,1550,1250,1300,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước Hoa BVLGARI,Sản phẩm thường,KCN - Nước hoa,783320490026,783320490026,Có,1100,1350,1350,1600,1350,1400,Set,1100,0,1100,1,1100,1,1100,0,1100,0
Nước hoa BVLGARI OMNIA,Sản phẩm thường,KCN - Nước hoa,783320490118,783320490118,Có,1300,1650,1650,1950,1650,1650,chai,1300,0,1300,0,1300,0,1300,0,1300,0
Nước Hoa BVLGARI 100ml,Sản phẩm thường,KCN - Nước hoa,783320831508,783320831508,Có,750000,880000,880000,1100,880000,900000,Chai,750000,0,750000,0,750000,0,750000,0,750000,0
Nước hoa BLV 100ml Eau de toilette,Sản phẩm thường,KCN - Nước hoa,783320881596,783320881596,Có,800000,950000,950000,1250,950000,980000,Chai,800000,0,800000,0,800000,0,800000,0,800000,0
CC Sugao trắng,Sản phẩm thường,KCN - Nước hoa,835965,835965,Có,190000,200000,200000,280000,200000,205000,tuýp,190000,0,190000,0,190000,0,190000,0,190000,0
Nước hoa Valentino 50ml,Sản phẩm thường,KCN - Nước hoa,8411061747421,8411061747421,Có,1050,1200,1200,1500,1200,1250,Hộp,1050,0,1050,0,1050,0,1050,0,1050,0
Nước hoa Nam Prada 50ml,Sản phẩm thường,KCN - Nước hoa,8435137704248,8435137704248,Có,950000,1150,1150,1350,1150,1150,chai,950000,0,950000,0,950000,0,950000,0,950000,0
